path,ext,size,modified_utc,last_git_utc,decision,reasons
tools/ci_badge_update.py,.py,1736,2025-08-23 09:23:56,2025-08-23 23:28:49,archive,stale:57d>=45d
tools/ci_probe.py,.py,845,2025-08-23 09:09:29,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/ci_run_tests.py,.py,426,2025-08-23 05:26:33,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/ci_self_check.py,.py,514,2025-09-03 20:03:42,2025-09-03 20:55:41,archive,stale:46d>=45d
tools/ci_smoketest.py,.py,974,2025-08-22 22:19:58,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/config/pa_watchdog.yaml,.yaml,704,2025-08-27 12:20:53,2025-08-28 11:00:10,archive,stale:53d>=45d
tools/deep_inventory.py,.py,9680,2025-08-22 15:43:15,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/export_insights.py,.py,1860,2025-08-22 15:55:58,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/fetch_ai_models.py,.py,6584,2025-08-22 15:55:58,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/file_manifest.py,.py,4080,2025-08-22 15:55:58,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/find_callers.py,.py,640,2025-08-22 15:43:15,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/find_file.py,.py,1423,2025-08-22 15:43:15,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/forbidden_guard.py,.py,3734,2025-09-03 19:58:04,2025-09-03 20:55:41,archive,stale:46d>=45d
tools/forbidden_patterns.yaml,.yaml,496,2025-08-22 22:51:27,2025-08-23 09:18:45,archive,stale:58d>=45d
tools/force_plan_compat.py,.py,1402,2025-08-23 06:08:57,2025-08-23 09:18:45,archive,pattern:(^|/).*_compat\.py$;stale:58d>=45d
tools/gen_phone_token.ps1,.ps1,679,2025-08-23 11:30:02,2025-08-23 23:28:49,archive,script:not_managed;stale:57d>=45d
tools/gentle_guard.ps1,.ps1,2137,2025-08-23 05:02:36,2025-08-23 09:18:45,archive,script:not_managed;stale:58d>=45d
